00-00	39.0	38.0	36.0	36.0	39.0
00-02	39.0	39.0	35.0	37.0	38.0
00-04	39.0	39.0	36.0	36.0	39.0
00-06	40.0	39.0	36.0	36.0	39.0
00-08	39.0	38.0	35.0	36.0	39.0
00-10	39.0	37.0	35.0	36.0	39.0
00-12	39.0	38.0	34.0	37.0	39.0
00-14	39.0	39.0	36.0	36.0	39.0
00-16	39.0	38.0	35.0	35.0	39.0
00-18	39.0	38.0	35.0	36.0	39.0
00-20	40.0	38.0	35.0	36.0	39.0
00-22	39.0	38.0	35.0	36.0	39.0
00-24	39.0	38.0	35.0	36.0	39.0
00-26	39.0	39.0	36.0	37.0	39.0
00-28	39.0	39.0	34.0	37.0	40.0
00-30	40.0	39.0	36.0	36.0	41.0
00-32	40.0	39.0	35.0	38.0	40.0
00-34	40.0	38.0	35.0	35.0	40.0
00-36	39.0	38.0	36.0	37.0	39.0
00-38	40.0	38.0	36.0	36.0	40.0
00-40	39.0	39.0	35.0	36.0	39.0
00-42	39.0	38.0	36.0	37.0	39.0
00-44	39.0	38.0	35.0	36.0	39.0
00-46	39.0	38.0	35.0	36.0	40.0
00-48	39.0	39.0	36.0	36.0	39.0
00-50	40.0	38.0	35.0	36.0	40.0
00-52	39.0	39.0	35.0	36.0	39.0
00-54	38.0	38.0	36.0	37.0	38.0
00-56	39.0	38.0	35.0	37.0	39.0
00-58	39.0	38.0	34.0	36.0	40.0
01-00	40.0	38.0	35.0	36.0	40.0
01-02	39.0	37.0	35.0	36.0	39.0
01-04	39.0	39.0	36.0	37.0	39.0
01-06	39.0	38.0	35.0	36.0	39.0
01-08	39.0	38.0	35.0	36.0	39.0
01-10	41.0	39.0	36.0	37.0	41.0
01-12	39.0	38.0	35.0	36.0	39.0
01-14	39.0	38.0	35.0	35.0	39.0
01-16	40.0	38.0	35.0	37.0	40.0
01-18	39.0	38.0	36.0	37.0	39.0
01-20	41.0	40.0	36.0	36.0	41.0
01-22	40.0	40.0	36.0	37.0	40.0
01-24	39.0	39.0	35.0	36.0	39.0
01-26	38.0	38.0	34.0	36.0	38.0
01-28	40.0	39.0	36.0	36.0	39.0
01-30	39.0	39.0	36.0	37.0	39.0
01-32	39.0	39.0	36.0	36.0	39.0
01-34	39.0	40.0	36.0	37.0	39.0
01-36	39.0	39.0	35.0	36.0	38.0
01-38	39.0	39.0	35.0	36.0	38.0
01-40	39.0	39.0	36.0	36.0	39.0
01-42	39.0	39.0	36.0	36.0	40.0
01-44	38.0	37.0	35.0	36.0	38.0
01-46	39.0	39.0	35.0	36.0	39.0
01-48	39.0	38.0	35.0	35.0	39.0
01-50	38.0	38.0	35.0	35.0	38.0
01-52	38.0	38.0	35.0	36.0	38.0
01-54	39.0	39.0	35.0	36.0	39.0
01-56	39.0	39.0	34.0	36.0	39.0
01-58	39.0	38.0	36.0	37.0	39.0
02-00	40.0	40.0	35.0	37.0	39.0
02-02	40.0	40.0	35.0	36.0	40.0
02-04	39.0	38.0	35.0	35.0	39.0
02-06	40.0	39.0	35.0	36.0	40.0
02-08	39.0	38.0	35.0	36.0	38.0
02-10	39.0	38.0	35.0	35.0	39.0
02-12	39.0	38.0	36.0	37.0	39.0
02-14	38.0	38.0	34.0	36.0	38.0
02-16	40.0	38.0	35.0	36.0	40.0
02-18	39.0	38.0	35.0	36.0	39.0
02-20	38.0	39.0	36.0	36.0	39.0
02-22	38.0	38.0	35.0	36.0	38.0
02-24	39.0	38.0	35.0	36.0	38.0
02-26	39.0	38.0	35.0	37.0	39.0
02-28	39.0	38.0	35.0	36.0	39.0
02-30	39.0	39.0	36.0	36.0	39.0
02-32	38.0	38.0	35.0	36.0	39.0
02-34	38.0	38.0	35.0	35.0	38.0
02-36	39.0	39.0	36.0	36.0	39.0
02-38	39.0	37.0	35.0	36.0	39.0
02-40	39.0	38.0	35.0	36.0	39.0
02-42	39.0	39.0	35.0	36.0	38.0
02-44	38.0	38.0	35.0	35.0	39.0
02-46	39.0	38.0	35.0	36.0	39.0
02-48	39.0	38.0	35.0	36.0	39.0
02-50	38.0	38.0	35.0	36.0	38.0
02-52	38.0	38.0	35.0	36.0	38.0
02-54	38.0	38.0	36.0	35.0	38.0
02-56	38.0	38.0	35.0	35.0	37.0
02-58	38.0	38.0	35.0	36.0	38.0
03-00	39.0	39.0	34.0	36.0	38.0
03-02	38.0	37.0	34.0	36.0	38.0
03-04	38.0	38.0	35.0	36.0	37.0
03-06	39.0	39.0	35.0	36.0	39.0
03-08	39.0	39.0	35.0	36.0	39.0
03-10	40.0	40.0	35.0	36.0	38.0
03-12	38.0	39.0	34.0	36.0	38.0
03-14	38.0	37.0	36.0	35.0	39.0
03-16	39.0	38.0	34.0	35.0	39.0
03-18	39.0	39.0	35.0	35.0	38.0
03-20	39.0	38.0	35.0	36.0	39.0
03-22	38.0	37.0	35.0	36.0	38.0
03-24	39.0	38.0	35.0	36.0	39.0
03-26	39.0	39.0	36.0	36.0	39.0
03-28	38.0	38.0	35.0	36.0	37.0
03-30	38.0	38.0	36.0	37.0	38.0
03-32	38.0	38.0	35.0	35.0	38.0
03-34	39.0	39.0	35.0	36.0	38.0
03-36	39.0	39.0	35.0	36.0	39.0
03-38	38.0	38.0	35.0	36.0	38.0
03-40	39.0	39.0	35.0	36.0	39.0
03-42	39.0	38.0	35.0	36.0	39.0
03-44	38.0	38.0	35.0	36.0	38.0
03-46	38.0	38.0	35.0	36.0	37.0
03-48	39.0	39.0	35.0	37.0	38.0
03-50	38.0	38.0	35.0	36.0	38.0
03-52	39.0	38.0	35.0	36.0	39.0
03-54	39.0	39.0	35.0	36.0	39.0
03-56	40.0	40.0	35.0	37.0	39.0
03-58	38.0	37.0	34.0	36.0	39.0
04-00	39.0	39.0	35.0	38.0	38.0
04-02	38.0	38.0	35.0	37.0	38.0
04-04	38.0	37.0	34.0	36.0	38.0
04-06	39.0	37.0	35.0	36.0	38.0
04-08	39.0	39.0	35.0	37.0	38.0
04-10	38.0	38.0	36.0	36.0	38.0
04-12	39.0	39.0	36.0	36.0	38.0
04-14	39.0	39.0	35.0	36.0	39.0
04-16	39.0	39.0	36.0	35.0	39.0
04-18	38.0	38.0	36.0	36.0	39.0
04-20	38.0	37.0	34.0	37.0	37.0
04-22	38.0	38.0	34.0	36.0	38.0
04-24	39.0	38.0	35.0	37.0	39.0
04-26	39.0	39.0	35.0	36.0	38.0
04-28	39.0	38.0	35.0	37.0	39.0
04-30	39.0	39.0	35.0	36.0	38.0
04-32	39.0	38.0	35.0	37.0	39.0
04-34	38.0	38.0	35.0	35.0	37.0
04-36	39.0	39.0	36.0	37.0	39.0
04-38	39.0	39.0	36.0	36.0	37.0
04-40	39.0	39.0	35.0	35.0	39.0
04-42	39.0	39.0	36.0	36.0	39.0
04-44	39.0	38.0	35.0	36.0	39.0
04-46	39.0	39.0	36.0	36.0	39.0
04-48	39.0	38.0	35.0	36.0	39.0
04-50	39.0	39.0	35.0	36.0	39.0
04-52	38.0	38.0	35.0	37.0	38.0
04-54	39.0	39.0	36.0	36.0	39.0
04-56	39.0	39.0	36.0	35.0	39.0
04-58	39.0	38.0	34.0	36.0	39.0
05-00	40.0	39.0	35.0	36.0	40.0
05-02	39.0	38.0	35.0	37.0	39.0
05-04	39.0	38.0	35.0	37.0	38.0
05-06	39.0	38.0	36.0	36.0	40.0
05-08	39.0	38.0	36.0	36.0	39.0
05-10	39.0	39.0	35.0	36.0	40.0
05-12	39.0	39.0	36.0	36.0	39.0
05-14	39.0	38.0	34.0	35.0	39.0
05-16	38.0	38.0	35.0	36.0	38.0
05-18	39.0	37.0	35.0	36.0	39.0
05-20	38.0	38.0	35.0	36.0	38.0
05-22	39.0	38.0	36.0	36.0	38.0
05-24	40.0	40.0	35.0	36.0	40.0
05-26	39.0	38.0	36.0	36.0	39.0
05-28	39.0	38.0	35.0	36.0	40.0
05-30	39.0	38.0	36.0	36.0	39.0
05-32	39.0	38.0	36.0	36.0	39.0
05-34	39.0	39.0	36.0	36.0	38.0
05-36	40.0	40.0	36.0	37.0	38.0
05-38	39.0	39.0	36.0	37.0	39.0
05-40	38.0	38.0	36.0	36.0	39.0
05-42	39.0	38.0	36.0	36.0	39.0
05-44	39.0	38.0	36.0	35.0	39.0
05-46	39.0	39.0	36.0	37.0	39.0
05-48	40.0	40.0	35.0	36.0	39.0
05-50	39.0	39.0	36.0	37.0	39.0
05-52	39.0	39.0	35.0	36.0	38.0
05-54	39.0	38.0	36.0	36.0	39.0
05-56	39.0	39.0	35.0	36.0	38.0
05-58	39.0	39.0	35.0	36.0	38.0
06-00	39.0	39.0	36.0	36.0	38.0
06-02	38.0	38.0	36.0	36.0	38.0
06-04	39.0	39.0	35.0	36.0	38.0
06-06	38.0	38.0	35.0	36.0	38.0
06-08	38.0	38.0	35.0	36.0	38.0
06-10	38.0	38.0	36.0	37.0	38.0
06-12	39.0	39.0	35.0	36.0	39.0
06-14	40.0	39.0	36.0	37.0	40.0
06-16	40.0	39.0	36.0	36.0	39.0
06-18	40.0	39.0	36.0	37.0	40.0
06-20	39.0	38.0	34.0	36.0	38.0
06-22	39.0	39.0	35.0	37.0	39.0
06-24	39.0	38.0	35.0	37.0	39.0
06-26	39.0	38.0	35.0	36.0	39.0
06-28	39.0	39.0	36.0	37.0	39.0
06-30	40.0	40.0	36.0	37.0	40.0
06-32	39.0	39.0	34.0	37.0	39.0
06-34	39.0	39.0	34.0	37.0	39.0
06-36	39.0	39.0	36.0	36.0	39.0
06-38	39.0	39.0	34.0	37.0	39.0
06-40	40.0	40.0	35.0	36.0	39.0
06-42	40.0	40.0	35.0	37.0	40.0
06-44	39.0	39.0	36.0	36.0	39.0
06-46	40.0	40.0	35.0	37.0	39.0
06-48	41.0	41.0	36.0	39.0	41.0
06-50	39.0	39.0	36.0	37.0	39.0
06-52	39.0	39.0	36.0	37.0	39.0
06-54	40.0	39.0	36.0	37.0	40.0
06-56	39.0	38.0	36.0	37.0	39.0
06-58	40.0	39.0	36.0	37.0	40.0
07-00	41.0	41.0	36.0	37.0	40.0
07-02	40.0	39.0	35.0	37.0	40.0
07-04	40.0	40.0	35.0	37.0	40.0
07-06	40.0	40.0	35.0	37.0	40.0
07-08	40.0	39.0	35.0	37.0	40.0
07-10	40.0	40.0	35.0	37.0	40.0
07-12	39.0	39.0	36.0	37.0	40.0
07-14	39.0	39.0	35.0	37.0	39.0
07-16	39.0	39.0	34.0	37.0	39.0
07-18	40.0	40.0	35.0	37.0	40.0
07-20	40.0	39.0	36.0	37.0	40.0
07-22	40.0	40.0	35.0	37.0	40.0
07-24	41.0	41.0	36.0	36.0	40.0
07-26	40.0	40.0	36.0	37.0	39.0
07-28	40.0	40.0	35.0	36.0	39.0
07-30	40.0	40.0	35.0	37.0	40.0
07-32	40.0	40.0	35.0	36.0	41.0
07-34	40.0	39.0	36.0	37.0	40.0
07-36	40.0	40.0	36.0	37.0	41.0
07-38	40.0	40.0	36.0	37.0	40.0
07-40	41.0	41.0	37.0	37.0	40.0
07-42	41.0	41.0	36.0	37.0	40.0
07-44	40.0	40.0	36.0	36.0	40.0
07-46	41.0	39.0	36.0	38.0	41.0
07-48	40.0	40.0	36.0	37.0	40.0
07-50	41.0	41.0	36.0	36.0	40.0
07-52	41.0	41.0	36.0	37.0	40.0
07-54	41.0	40.0	36.0	38.0	41.0
07-56	40.0	40.0	36.0	37.0	40.0
07-58	40.0	40.0	36.0	37.0	39.0
08-00	40.0	39.0	35.0	38.0	40.0
08-02	40.0	40.0	36.0	38.0	40.0
08-04	41.0	39.0	34.0	37.0	41.0
08-06	40.0	40.0	37.0	37.0	40.0
08-08	41.0	41.0	36.0	38.0	40.0
08-10	40.0	41.0	36.0	37.0	40.0
08-12	40.0	39.0	36.0	38.0	39.0
08-14	39.0	39.0	36.0	38.0	40.0
08-16	40.0	39.0	36.0	38.0	40.0
08-18	40.0	40.0	35.0	38.0	39.0
08-20	40.0	40.0	35.0	37.0	39.0
08-22	39.0	39.0	34.0	37.0	38.0
08-24	39.0	37.0	34.0	37.0	38.0
08-26	37.0	37.0	33.0	35.0	38.0
08-28	38.0	38.0	32.0	35.0	36.0
08-30	38.0	37.0	33.0	35.0	38.0
08-32	37.0	37.0	32.0	34.0	37.0
08-34	37.0	37.0	32.0	33.0	36.0
08-36	37.0	37.0	32.0	34.0	36.0
08-38	36.0	36.0	32.0	33.0	36.0
08-40	36.0	36.0	32.0	31.0	36.0
08-42	37.0	37.0	32.0	34.0	36.0
08-44	36.0	35.0	32.0	32.0	36.0
08-46	35.0	36.0	31.0	32.0	35.0
08-48	35.0	35.0	32.0	33.0	35.0
08-50	35.0	35.0	31.0	31.0	34.0
08-52	36.0	36.0	31.0	32.0	35.0
08-54	35.0	35.0	31.0	31.0	35.0
08-56	35.0	35.0	31.0	29.0	35.0
08-58	35.0	35.0	31.0	31.0	35.0
09-00	36.0	37.0	32.0	32.0	37.0
09-02	36.0	35.0	31.0	30.0	35.0
09-04	34.0	34.0	31.0	30.0	34.0
09-06	36.0	36.0	31.0	30.0	35.0
09-08	35.0	35.0	30.0	29.0	35.0
09-10	35.0	35.0	32.0	31.0	35.0
09-12	35.0	35.0	31.0	30.0	35.0
09-14	41.0	37.0	35.0	37.0	41.0
09-16	44.0	44.0	43.0	44.0	43.0
09-20	37.0	36.0	32.0	32.0	36.0
