00-00	21.0	21.0	16.0	16.0	21.0	22.0
00-02	21.0	20.0	15.0	14.0	21.0	21.0
00-04	20.0	20.0	15.0	14.0	21.0	21.0
00-06	22.0	22.0	16.0	16.0	22.0	22.0
00-08	22.0	20.0	15.0	15.0	22.0	22.0
00-10	21.0	20.0	14.0	14.0	21.0	21.0
00-12	22.0	22.0	16.0	17.0	22.0	22.0
00-14	20.0	20.0	15.0	15.0	20.0	22.0
00-16	21.0	20.0	15.0	14.0	21.0	21.0
00-18	21.0	20.0	16.0	16.0	21.0	21.0
00-20	22.0	21.0	16.0	17.0	22.0	22.0
00-22	22.0	22.0	16.0	16.0	20.0	21.0
00-24	21.0	21.0	15.0	15.0	20.0	22.0
00-26	20.0	19.0	15.0	15.0	20.0	20.0
00-28	21.0	21.0	16.0	14.0	21.0	21.0
00-30	21.0	20.0	16.0	15.0	21.0	21.0
00-32	21.0	21.0	14.0	15.0	21.0	21.0
00-34	21.0	21.0	13.0	15.0	19.0	21.0
00-36	21.0	21.0	15.0	15.0	21.0	21.0
00-38	22.0	22.0	14.0	17.0	20.0	22.0
00-40	20.0	21.0	15.0	17.0	21.0	21.0
00-42	21.0	21.0	15.0	16.0	20.0	21.0
00-44	20.0	20.0	13.0	16.0	20.0	20.0
00-46	21.0	21.0	13.0	15.0	21.0	21.0
00-48	21.0	20.0	14.0	14.0	21.0	21.0
00-50	21.0	21.0	15.0	14.0	21.0	21.0
00-52	21.0	20.0	13.0	14.0	20.0	20.0
00-54	21.0	21.0	14.0	16.0	21.0	21.0
00-56	21.0	21.0	16.0	13.0	21.0	21.0
00-58	21.0	21.0	16.0	15.0	22.0	22.0
01-00	23.0	23.0	16.0	16.0	21.0	23.0
01-02	20.0	20.0	16.0	14.0	20.0	20.0
01-04	22.0	20.0	14.0	14.0	21.0	21.0
01-06	22.0	21.0	15.0	16.0	22.0	22.0
01-08	22.0	20.0	15.0	14.0	21.0	21.0
01-10	21.0	20.0	16.0	14.0	21.0	21.0
01-12	21.0	20.0	16.0	14.0	21.0	21.0
01-14	22.0	20.0	16.0	14.0	22.0	22.0
01-16	21.0	21.0	14.0	13.0	19.0	20.0
01-18	22.0	21.0	15.0	15.0	22.0	22.0
01-20	22.0	22.0	15.0	15.0	21.0	22.0
01-22	20.0	20.0	13.0	15.0	19.0	20.0
01-24	21.0	20.0	15.0	15.0	21.0	21.0
01-26	20.0	20.0	13.0	15.0	20.0	20.0
01-28	21.0	21.0	13.0	15.0	20.0	22.0
01-30	21.0	21.0	14.0	15.0	21.0	21.0
01-32	20.0	20.0	14.0	15.0	20.0	21.0
01-34	20.0	20.0	13.0	15.0	20.0	20.0
01-36	22.0	22.0	15.0	16.0	21.0	22.0
01-38	21.0	19.0	14.0	14.0	21.0	21.0
01-40	21.0	21.0	15.0	14.0	21.0	21.0
01-42	22.0	22.0	14.0	16.0	19.0	22.0
01-44	21.0	20.0	13.0	14.0	20.0	20.0
01-46	20.0	19.0	15.0	14.0	20.0	20.0
01-48	21.0	21.0	15.0	13.0	20.0	21.0
01-50	20.0	20.0	14.0	14.0	20.0	20.0
01-52	20.0	19.0	14.0	14.0	21.0	21.0
01-54	22.0	22.0	15.0	14.0	20.0	22.0
01-56	20.0	20.0	14.0	14.0	20.0	20.0
01-58	21.0	20.0	15.0	14.0	21.0	21.0
02-00	22.0	22.0	16.0	15.0	21.0	22.0
02-02	21.0	21.0	13.0	15.0	19.0	21.0
02-04	20.0	20.0	15.0	14.0	20.0	21.0
02-06	22.0	22.0	14.0	14.0	20.0	22.0
02-08	21.0	21.0	13.0	14.0	19.0	21.0
02-10	21.0	21.0	14.0	15.0	20.0	21.0
02-12	22.0	22.0	14.0	15.0	18.0	22.0
02-14	21.0	21.0	13.0	15.0	19.0	21.0
02-16	21.0	21.0	15.0	14.0	20.0	20.0
02-18	21.0	20.0	15.0	15.0	21.0	21.0
02-20	22.0	22.0	14.0	15.0	20.0	21.0
02-22	21.0	20.0	14.0	13.0	21.0	19.0
02-24	21.0	21.0	14.0	14.0	21.0	21.0
02-26	20.0	19.0	13.0	14.0	20.0	20.0
02-28	21.0	20.0	13.0	14.0	20.0	20.0
02-30	21.0	21.0	15.0	15.0	20.0	21.0
02-32	20.0	20.0	13.0	14.0	20.0	20.0
02-34	20.0	20.0	14.0	13.0	19.0	20.0
02-36	22.0	20.0	15.0	14.0	21.0	21.0
02-38	20.0	20.0	14.0	13.0	20.0	20.0
02-40	20.0	19.0	14.0	13.0	20.0	20.0
02-42	21.0	20.0	14.0	14.0	21.0	22.0
02-44	21.0	21.0	14.0	13.0	20.0	21.0
02-46	20.0	19.0	13.0	14.0	20.0	20.0
02-48	20.0	20.0	14.0	14.0	21.0	21.0
02-50	20.0	20.0	14.0	14.0	19.0	20.0
02-52	20.0	19.0	15.0	14.0	20.0	20.0
02-54	22.0	22.0	14.0	14.0	20.0	22.0
02-56	21.0	21.0	12.0	15.0	19.0	20.0
02-58	21.0	21.0	13.0	15.0	18.0	20.0
03-00	22.0	22.0	14.0	15.0	20.0	22.0
03-02	19.0	19.0	11.0	14.0	18.0	19.0
03-04	20.0	20.0	12.0	15.0	20.0	21.0
03-06	21.0	21.0	14.0	16.0	20.0	21.0
03-08	19.0	19.0	12.0	15.0	18.0	20.0
03-10	20.0	20.0	13.0	14.0	20.0	20.0
03-12	21.0	21.0	14.0	16.0	20.0	21.0
03-14	20.0	20.0	13.0	15.0	19.0	20.0
03-16	21.0	20.0	15.0	13.0	21.0	21.0
03-18	21.0	21.0	14.0	14.0	20.0	22.0
03-20	21.0	20.0	15.0	15.0	21.0	21.0
03-22	20.0	19.0	14.0	13.0	20.0	20.0
03-24	21.0	21.0	14.0	14.0	21.0	21.0
03-26	20.0	19.0	13.0	14.0	20.0	20.0
03-28	20.0	19.0	14.0	15.0	20.0	20.0
03-30	20.0	21.0	14.0	14.0	21.0	21.0
03-32	20.0	19.0	14.0	14.0	20.0	20.0
03-34	20.0	20.0	14.0	13.0	19.0	20.0
03-36	20.0	20.0	15.0	16.0	20.0	20.0
03-38	19.0	19.0	14.0	14.0	20.0	20.0
03-40	21.0	20.0	15.0	13.0	21.0	21.0
03-42	21.0	21.0	15.0	15.0	20.0	21.0
03-44	19.0	19.0	15.0	14.0	20.0	20.0
03-46	19.0	19.0	13.0	14.0	19.0	20.0
03-48	21.0	21.0	14.0	16.0	21.0	21.0
03-50	19.0	19.0	13.0	14.0	18.0	20.0
03-52	20.0	20.0	12.0	15.0	19.0	20.0
03-54	21.0	21.0	13.0	14.0	20.0	21.0
03-56	21.0	21.0	13.0	14.0	19.0	21.0
03-58	20.0	20.0	13.0	13.0	19.0	19.0
04-00	20.0	20.0	14.0	15.0	19.0	21.0
04-02	21.0	19.0	14.0	13.0	19.0	19.0
04-04	20.0	19.0	13.0	13.0	20.0	20.0
04-06	21.0	21.0	15.0	13.0	20.0	21.0
04-08	20.0	19.0	14.0	13.0	19.0	19.0
04-10	20.0	19.0	15.0	13.0	20.0	20.0
04-12	21.0	21.0	14.0	14.0	21.0	21.0
04-14	21.0	18.0	15.0	13.0	20.0	20.0
04-16	20.0	20.0	13.0	13.0	19.0	20.0
04-18	20.0	20.0	13.0	13.0	20.0	20.0
04-20	21.0	21.0	14.0	14.0	19.0	21.0
04-22	21.0	21.0	14.0	14.0	19.0	20.0
04-24	21.0	21.0	14.0	15.0	19.0	21.0
04-26	20.0	20.0	13.0	14.0	18.0	20.0
04-28	20.0	20.0	13.0	14.0	19.0	20.0
04-30	21.0	21.0	14.0	14.0	20.0	22.0
04-32	21.0	21.0	13.0	13.0	19.0	20.0
04-34	20.0	20.0	13.0	13.0	18.0	20.0
04-36	20.0	19.0	13.0	14.0	20.0	20.0
04-38	21.0	21.0	13.0	14.0	19.0	21.0
04-40	22.0	22.0	13.0	14.0	19.0	22.0
04-42	21.0	20.0	15.0	14.0	21.0	21.0
04-44	20.0	19.0	13.0	14.0	20.0	20.0
04-46	20.0	19.0	12.0	14.0	19.0	19.0
04-48	21.0	21.0	15.0	14.0	21.0	21.0
04-50	20.0	20.0	14.0	14.0	20.0	20.0
04-52	21.0	20.0	14.0	14.0	19.0	20.0
04-54	21.0	21.0	14.0	13.0	21.0	22.0
04-56	20.0	20.0	13.0	13.0	19.0	20.0
04-58	19.0	19.0	14.0	14.0	19.0	20.0
05-00	22.0	22.0	14.0	15.0	22.0	22.0
05-02	20.0	20.0	13.0	15.0	20.0	20.0
05-04	21.0	21.0	13.0	14.0	19.0	21.0
05-06	20.0	20.0	14.0	14.0	20.0	21.0
05-08	19.0	19.0	12.0	13.0	19.0	19.0
05-10	21.0	21.0	13.0	14.0	20.0	21.0
05-12	20.0	20.0	15.0	14.0	20.0	20.0
05-14	21.0	21.0	12.0	14.0	19.0	21.0
05-16	20.0	19.0	14.0	13.0	20.0	20.0
05-18	20.0	19.0	14.0	13.0	21.0	21.0
05-20	21.0	21.0	14.0	14.0	20.0	20.0
05-22	20.0	20.0	12.0	14.0	18.0	21.0
05-24	21.0	21.0	13.0	15.0	20.0	21.0
05-26	20.0	19.0	13.0	14.0	19.0	21.0
05-28	21.0	21.0	13.0	14.0	19.0	21.0
05-30	20.0	20.0	14.0	15.0	20.0	20.0
05-32	20.0	20.0	11.0	13.0	20.0	20.0
05-34	20.0	20.0	13.0	13.0	19.0	20.0
05-36	21.0	19.0	13.0	14.0	20.0	20.0
05-38	19.0	19.0	12.0	14.0	19.0	21.0
05-40	21.0	19.0	13.0	13.0	20.0	20.0
05-42	20.0	20.0	14.0	14.0	19.0	19.0
05-44	20.0	19.0	12.0	14.0	20.0	20.0
05-46	20.0	19.0	14.0	14.0	20.0	20.0
05-48	20.0	19.0	14.0	13.0	21.0	21.0
05-50	19.0	19.0	14.0	13.0	20.0	20.0
05-52	19.0	19.0	13.0	11.0	19.0	19.0
05-54	19.0	20.0	14.0	14.0	19.0	20.0
05-56	20.0	18.0	14.0	13.0	20.0	20.0
05-58	20.0	18.0	13.0	13.0	20.0	20.0
06-00	21.0	21.0	14.0	14.0	20.0	21.0
06-02	19.0	18.0	13.0	12.0	20.0	20.0
06-04	20.0	18.0	13.0	13.0	20.0	20.0
06-06	20.0	19.0	14.0	13.0	20.0	20.0
06-08	20.0	19.0	13.0	12.0	20.0	20.0
06-10	20.0	19.0	12.0	11.0	20.0	20.0
06-12	20.0	20.0	14.0	12.0	21.0	21.0
06-14	19.0	19.0	14.0	13.0	19.0	19.0
06-16	19.0	18.0	12.0	12.0	19.0	19.0
06-18	20.0	20.0	12.0	13.0	18.0	20.0
06-20	21.0	20.0	14.0	12.0	21.0	21.0
06-22	19.0	19.0	12.0	11.0	19.0	19.0
06-24	20.0	19.0	12.0	12.0	20.0	20.0
06-26	19.0	19.0	13.0	12.0	19.0	19.0
06-28	18.0	18.0	12.0	13.0	19.0	19.0
06-30	20.0	19.0	13.0	13.0	19.0	19.0
06-32	19.0	18.0	13.0	12.0	19.0	19.0
06-34	20.0	18.0	13.0	13.0	20.0	20.0
06-36	20.0	19.0	13.0	13.0	19.0	19.0
06-38	20.0	19.0	13.0	13.0	20.0	20.0
06-40	20.0	19.0	13.0	14.0	20.0	19.0
06-42	20.0	20.0	13.0	13.0	19.0	20.0
06-44	19.0	19.0	14.0	12.0	18.0	19.0
06-46	19.0	19.0	13.0	12.0	19.0	19.0
06-48	19.0	19.0	14.0	13.0	19.0	19.0
06-50	20.0	19.0	12.0	13.0	20.0	20.0
06-52	19.0	19.0	12.0	13.0	19.0	20.0
06-54	20.0	19.0	15.0	13.0	20.0	20.0
06-56	20.0	19.0	13.0	13.0	20.0	20.0
06-58	19.0	19.0	13.0	12.0	20.0	20.0
07-00	21.0	19.0	14.0	13.0	21.0	21.0
07-02	19.0	19.0	13.0	12.0	19.0	19.0
07-04	19.0	18.0	13.0	13.0	19.0	19.0
07-06	20.0	20.0	14.0	13.0	19.0	20.0
07-08	19.0	19.0	13.0	13.0	19.0	19.0
07-10	19.0	19.0	13.0	12.0	20.0	20.0
07-12	20.0	20.0	13.0	14.0	19.0	20.0
07-14	20.0	19.0	14.0	14.0	20.0	20.0
07-16	19.0	19.0	10.0	14.0	19.0	19.0
07-18	20.0	20.0	12.0	14.0	20.0	20.0
07-20	21.0	20.0	13.0	13.0	21.0	21.0
07-22	20.0	20.0	12.0	14.0	18.0	20.0
07-24	20.0	19.0	12.0	15.0	19.0	19.0
07-26	19.0	19.0	12.0	14.0	18.0	19.0
07-28	20.0	20.0	12.0	15.0	20.0	20.0
07-30	22.0	20.0	14.0	14.0	22.0	22.0
07-32	20.0	19.0	14.0	13.0	20.0	20.0
07-34	19.0	19.0	13.0	13.0	19.0	19.0
07-36	20.0	19.0	13.0	14.0	20.0	20.0
07-38	21.0	19.0	13.0	13.0	20.0	20.0
07-40	20.0	19.0	14.0	15.0	21.0	21.0
07-42	21.0	20.0	13.0	15.0	21.0	21.0
07-44	21.0	19.0	13.0	14.0	21.0	21.0
07-46	20.0	19.0	13.0	13.0	20.0	20.0
07-48	21.0	20.0	14.0	15.0	21.0	21.0
07-50	21.0	20.0	13.0	14.0	20.0	20.0
07-52	20.0	19.0	13.0	13.0	20.0	20.0
07-54	21.0	20.0	14.0	14.0	21.0	21.0
07-56	21.0	19.0	13.0	14.0	21.0	21.0
07-58	22.0	21.0	15.0	15.0	21.0	21.0
08-00	21.0	21.0	16.0	15.0	20.0	21.0
08-02	22.0	20.0	15.0	15.0	20.0	20.0
08-04	21.0	20.0	15.0	15.0	20.0	20.0
08-06	22.0	22.0	14.0	16.0	20.0	21.0
